,,Station 1,Station 2,Station 3,Station 4,,,,,,,,,,,
,,0.220,0.120,0.103,0.209,,,,,,,,,,,
,,0.172,0.099,0.089,0.000,,,,,,,,,,,
,,0.261,0.164,0.154,0.703,,,,,,,,,,,
,,0.171,0.093,0.101,0.892,,,,,,,,,,,
,,0.278,0.244,0.286,0.905,,,,,,,,,,,
,,0.170,0.118,0.107,1.122,,,,,,,,,,,
,,0.217,0.149,0.096,1.444,,,,,,,,,,,
,,0.371,0.232,0.209,1.234,,,,,,,,,,,
,,0.374,0.485,0.185,3.272,,,,,,,,,,,
,,0.316,0.141,0.088,0.098,,,,,,,,,,,
,,0.247,0.110,0.238,0.444,,,,,,,,,,,
,,0.210,0.045,0.141,0.278,,,,,,,,,,,
,,0.148,0.051,0.071,0.000,,,,,,,,,,,
,,0.095,0.086,0.043,0.020,,,,,,,,,,,
,,0.153,0.102,0.053,0.179,,,,,,,,,,,
,,0.163,0.097,0.063,0.327,,,,,,,,,,,
,,0.162,0.084,0.085,0.331,,,,,,,,,,,
,,0.149,0.107,0.068,0.172,,,,,,,,,,,
,,0.147,0.086,0.072,0.138,,,,,,,,,,,
,,0.173,0.126,0.100,0.298,,,,,,,,,,,
,,0.278,0.268,0.110,0.242,,,,,,,,,,,
,,0.209,0.074,0.117,0.113,,,,,,,,,,,
,,0.168,0.060,0.077,0.000,,,,,,,,,,,
,,0.143,0.081,0.092,0.036,,,,,,,,,,,
,,0.084,0.046,0.037,0.005,,,,,,,,,,,
,,0.101,0.070,0.145,0.277,,,,,,,,,,,
,,0.129,0.051,0.055,0.195,,,,,,,,,,,
,,0.145,0.103,0.115,0.913,,,,,,,,,,,
,,0.146,0.122,0.110,0.795,,,,,,,,,,,
,,0.143,0.129,0.142,1.103,,,,,,,,,,,
,,0.167,0.129,0.186,1.941,,,,,,,,,,,
,,0.297,0.122,0.225,1.613,,,,,,,,,,,
,,0.773,0.265,0.907,3.373,,,,,,,,,,,
,,0.718,0.226,0.330,2.355,,,,,,,,,,,
,,0.347,0.166,0.181,0.551,,,,,,,,,,,
,,0.167,0.094,0.096,0.251,,,,,,,,,,,
,,0.129,0.064,0.081,0.185,,,,,,,,,,,
,,0.173,0.075,0.425,2.484,,,,,,,,,,,
,,0.183,0.101,0.177,0.595,,,,,,,,,,,
,,0.185,0.073,0.143,0.857,,,,,,,,,,,
,,0.123,0.086,0.104,0.912,,,,,,,,,,,
,,0.089,0.098,0.093,0.797,,,,,,,,,,,
,,0.123,0.094,0.095,1.009,,,,,,,,,,,
,,0.259,0.170,0.177,0.561,,,,,,,,,,,
,,0.466,0.223,0.183,0.879,,,,,,,,,,,
,,0.210,0.106,0.176,0.862,,,,,,,,,,,
,,0.082,0.059,0.075,0.011,,,,,,,,,,,
,,0.066,0.073,0.039,0.000,,,,,,,,,,,
,,0.157,0.029,0.027,0.000,,,,,,,,,,,
,,0.044,0.030,0.017,0.000,,,,,,,,,,,
,,0.051,0.053,0.222,0.840,,,,,,,,,,,
,,0.045,0.055,0.070,0.338,,,,,,,,,,,
,,0.055,0.079,0.043,0.540,,,,,,,,,,,
,,0.074,0.081,0.053,0.587,,,,,,,,,,,
,,0.123,0.104,0.141,0.830,,,,,,,,,,,
,,0.144,0.129,0.149,0.604,,,,,,,,,,,
,,0.173,0.125,0.125,0.259,,,,,,,,,,,
,,0.200,0.184,0.155,0.852,,,,,,,,,,,
,,0.106,0.103,0.131,0.040,,,,,,,,,,,
,,0.040,0.074,0.105,0.000,,,,,,,,,,,
,,0.034,0.059,0.072,0.000,,,,,,,,,,,
,,0.043,0.069,0.038,0.014,,,,,,,,,,,
